snapshot_utc,snapshot_date,snapshot_kind,event,deadline_time,id,web_name,team,position,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,form,event_points,total_points,minutes,ep_this,ep_next
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,63,Milosavljević,BOU,DEF,50,0,0,0.1,0,0,0,0,a,,,,,,,,0.0,0,19,367,,2.2
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,64,Smith,BOU,DEF,45,0,0,0.1,0,0,0,0,a,,,,,,,,0.0,0,58,1073,,1.7
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,65,J.Araujo,BOU,DEF,45,0,0,0.1,0,0,0,0,a,,,,,,,,0.0,0,0,0,,1.7
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,66,Soler,BOU,DEF,40,0,0,0.6,0,0,0,0,a,,,,,,,,0.0,0,3,34,,1.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,67,Rayan,BOU,MID,65,0,0,3.4,0,0,0,0,a,,,,,,,,0.0,0,67,1110,,2.3
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,68,Tavernier,BOU,MID,60,0,0,1.4,0,0,0,0,a,,,,,3,1,6,0.0,0,137,2732,,2.1
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,69,Scott,BOU,MID,60,0,0,1.6,0,0,0,0,a,,,,,,4,7,0.0,0,136,2848,,2.1
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,70,Kluivert,BOU,MID,60,0,0,0.8,0,0,0,0,a,,,,,2,2,,0.0,0,41,945,,2.1
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,71,Cook,BOU,MID,50,0,0,0.1,0,0,0,0,a,,,,,,,8,0.0,0,40,872,,1.5
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,72,Gannon-Doak,BOU,MID,50,0,0,0.2,0,0,0,0,a,,,,,,,,0.0,0,11,105,,1.5
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,73,Adams,BOU,MID,50,0,0,0.7,0,0,0,0,a,,,,,,,,0.0,0,77,1769,,1.5
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,74,Brooks,BOU,MID,50,0,0,0.2,0,0,0,0,a,,,,,,3,9,0.0,0,59,1188,,1.5
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,75,Christie,BOU,MID,50,0,0,0.1,0,0,0,0,s,Suspended until 29 Aug,2026-07-24T17:30:10.035483Z,,0,,,10,0.0,0,47,978,,0.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,76,Tóth.A,BOU,MID,50,0,0,0.0,0,0,0,0,a,,,,,,,,0.0,0,8,135,,1.5
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,77,Adli,BOU,MID,50,0,0,0.2,0,0,0,0,a,,,,,,,,0.0,0,67,1074,,1.5
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,78,Kroupi.Jr,BOU,MID,75,0,0,13.0,0,0,0,0,a,,,,,1,,,0.0,0,113,1663,,2.6
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,79,Evanilson,BOU,FWD,60,0,0,1.9,0,0,0,0,a,,,,,,,,0.0,0,115,2741,,2.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,80,Enes Ünal,BOU,FWD,55,0,0,0.2,0,0,0,0,a,,,,,,5,,0.0,0,27,214,,1.8
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,81,Rodríguez,BOU,FWD,60,0,0,0.2,0,0,0,0,a,,,,,,,,0.0,0,0,0,,2.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,82,Kelleher,BRE,GKP,50,0,0,5.5,0,0,0,0,a,,,,,,,,0.0,0,143,3330,,2.6
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,83,Valdimarsson,BRE,GKP,45,0,0,0.1,0,0,0,0,a,,,,,,,,0.0,0,1,90,,2.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,84,Collins,BRE,DEF,55,0,0,2.0,0,0,0,0,a,,,,,,,,0.0,0,129,2971,,2.5
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,85,Van den Berg,BRE,DEF,50,0,0,0.7,0,0,0,0,a,,,,,,,,0.0,0,113,2761,,2.2
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,86,Lewis-Potter,BRE,MID,55,0,0,0.6,0,0,0,0,a,,,,,,1,,0.0,0,115,1960,,2.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,87,Ajer,BRE,DEF,45,0,0,0.5,0,0,0,0,a,,,,,,,,0.0,0,76,1805,,1.7
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,88,Kayode,BRE,DEF,45,0,0,4.8,0,0,0,0,a,,,,,,,,0.0,0,113,3258,,1.7
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,89,Henry,BRE,DEF,45,0,0,0.2,0,0,0,0,a,,,,,,,,0.0,0,52,1322,,1.7
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,90,Hickey,BRE,DEF,45,0,0,0.1,0,0,0,0,a,,,,,,,,0.0,0,37,679,,1.7
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,91,Pinnock,BRE,DEF,45,0,0,0.1,0,0,0,0,a,,,,,,,,0.0,0,14,318,,1.7
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,92,Ji-soo,BRE,DEF,45,0,0,0.0,0,0,0,0,a,,,,,,,,0.0,0,0,0,,1.7
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,93,Schuster,BRE,DEF,45,0,0,0.1,0,0,0,0,a,,,,,,,,0.0,0,0,0,,1.7
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,94,Schade,BRE,MID,60,0,0,2.2,0,0,0,0,a,,,,,2,,,0.0,0,125,2744,,2.1
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,95,O.Dango,BRE,MID,65,0,0,1.4,0,0,0,0,a,,,,,,,8,0.0,0,136,2271,,2.3
